Data de Publicação,Contagem de postagens,Contagem de Perfis,Taxa de engajamento,Engajamento,Impressões,Visualizações,Rede,Tipo,Assunto
28 de jan. de 2025,2,2,"0,86%",2.805,324.900,18.761,Instagram,Publicidade,Patrocinadores
07 de jan. de 2025,2,2,"1,35%",2.343,173.282,46.827,Instagram,Publicidade,Patrocinadores
06 de jan. de 2025,2,2,"5,23%",6.951,133.011,-,Instagram,Publicidade,Patrocinadores
15 de jun. de 2025,1,1,"0,55%",297,54.223,-,Instagram,Publicidade,Patrocinadores
01 de jun. de 2025,1,1,"0,19%",265,137.984,-,Instagram,Publicidade,Patrocinadores
25 de mai. de 2025,1,1,"9,84%",1.286,13.068,-,Instagram,Publicidade,Patrocinadores
27 de abr. de 2025,1,1,"0,72%",236,32.561,10.021,Instagram,Publicidade,Patrocinadores
23 de fev. de 2025,1,1,"1,53%",66,4.302,-,Instagram,Publicidade,Patrocinadores
01 de fev. de 2025,1,1,"33,34%",4.355,13.064,-,Instagram,Publicidade,Patrocinadores
21 de jan. de 2025,1,1,"2,21%",2.674,121.247,-,Instagram,Publicidade,Patrocinadores
24 de fev. de 2025,19,15,"2,49%",1.275.982,0,51.235.395,TikTok,Publicidade,Patrocinadores
28 de fev. de 2025,10,10,"1,09%",86.128,0,7.903.487,TikTok,Publicidade,Patrocinadores
6 dias ago,9,9,"0,16%",6.258,0,4.004.917,TikTok,Publicidade,Patrocinadores
12 de mai. de 2025,9,9,"11,44%",25.651,0,224.253,TikTok,Publicidade,Patrocinadores
26 de fev. de 2025,8,7,"10,95%",724.537,0,6.618.353,TikTok,Publicidade,Patrocinadores
25 de fev. de 2025,8,7,"9,88%",974.261,0,9.865.066,TikTok,Publicidade,Patrocinadores
21 de fev. de 2025,8,8,"0,33%",141.426,0,43.470.514,TikTok,Publicidade,Patrocinadores
10 de jun. de 2025,6,6,"3,29%",1.542,0,46.907,TikTok,Publicidade,Patrocinadores
28 de mar. de 2025,6,6,"0,71%",58.937,0,8.322.307,TikTok,Publicidade,Patrocinadores
27 de fev. de 2025,6,6,"0,61%",49.392,0,8.038.975,TikTok,Publicidade,Patrocinadores
3 dias ago,5,3,"3,16%",999,0,31.633,TikTok,Publicidade,Patrocinadores
03 de jun. de 2025,5,5,"1,34%",505,0,37.559,TikTok,Publicidade,Patrocinadores
27 de mai. de 2025,5,5,"6,69%",2.914,0,43.587,TikTok,Publicidade,Patrocinadores
18 de abr. de 2025,5,5,"13,54%",344.214,0,2.542.128,TikTok,Publicidade,Patrocinadores
25 de mar. de 2025,5,5,"0,44%",25.470,0,5.853.575,TikTok,Publicidade,Patrocinadores
11 de mar. de 2025,5,5,"12,04%",56.355,0,468.175,TikTok,Publicidade,Patrocinadores
06 de mar. de 2025,5,5,"12,91%",7.118,0,55.128,TikTok,Publicidade,Patrocinadores
07 de fev. de 2025,5,5,"0,51%",43.237,0,8.459.686,TikTok,Publicidade,Patrocinadores
23 de jan. de 2025,5,5,"5,69%",40.868,0,717.710,TikTok,Publicidade,Patrocinadores
24 de jun. de 2025,4,4,"7,88%",946,0,12.001,TikTok,Publicidade,Patrocinadores
11 de jun. de 2025,4,4,"0,21%",11.140,0,5.302.049,TikTok,Publicidade,Patrocinadores
29 de mai. de 2025,4,4,"6,35%",895,0,14.105,TikTok,Publicidade,Patrocinadores
16 de mai. de 2025,4,4,"9,35%",10.510,0,112.394,TikTok,Publicidade,Patrocinadores
11 de abr. de 2025,4,4,"15,03%",16.765,0,111.580,TikTok,Publicidade,Patrocinadores
04 de abr. de 2025,4,4,"10,17%",19.841,0,195.051,TikTok,Publicidade,Patrocinadores
07 de mar. de 2025,4,4,"1,32%",43.630,0,3.293.248,TikTok,Publicidade,Patrocinadores
03 de mar. de 2025,4,4,"5,45%",37.304,0,684.932,TikTok,Publicidade,Patrocinadores
01 de mar. de 2025,4,3,"2,22%",1.210,0,54.390,TikTok,Publicidade,Patrocinadores
17 de jan. de 2025,4,4,"0,14%",51.193,0,35.645.840,TikTok,Publicidade,Patrocinadores
16 de jan. de 2025,4,4,"0,32%",30.294,0,9.586.572,TikTok,Publicidade,Patrocinadores
26 de jun. de 2025,3,3,"9,62%",262,0,2.723,TikTok,Publicidade,Patrocinadores
23 de jun. de 2025,3,3,"6,36%",82,0,1.290,TikTok,Publicidade,Patrocinadores
20 de jun. de 2025,3,3,"5,25%",105,0,2.001,TikTok,Publicidade,Patrocinadores
16 de jun. de 2025,3,3,"0,37%",7.679,0,2.074.610,TikTok,Publicidade,Patrocinadores
13 de jun. de 2025,3,3,"3,00%",163,0,5.433,TikTok,Publicidade,Patrocinadores
09 de jun. de 2025,3,3,"8,28%",79.200,0,956.477,TikTok,Publicidade,Patrocinadores
06 de jun. de 2025,3,3,"4,90%",677,0,13.828,TikTok,Publicidade,Patrocinadores
04 de jun. de 2025,3,3,"11,48%",16.983,0,147.963,TikTok,Publicidade,Patrocinadores
23 de mai. de 2025,3,3,"0,72%",451.088,0,62.706.534,TikTok,Publicidade,Patrocinadores
22 de mai. de 2025,3,3,"8,67%",4.451,0,51.332,TikTok,Publicidade,Patrocinadores
21 de mai. de 2025,3,3,"5,44%",2.082,0,38.239,TikTok,Publicidade,Patrocinadores
13 de mai. de 2025,3,3,"2,91%",366,0,12.590,TikTok,Publicidade,Patrocinadores
07 de mai. de 2025,3,3,"11,76%",114.111,0,970.151,TikTok,Publicidade,Patrocinadores
01 de abr. de 2025,3,3,"5,60%",260.727,0,4.658.230,TikTok,Publicidade,Patrocinadores
31 de mar. de 2025,3,3,"0,16%",26.202,0,15.990.598,TikTok,Publicidade,Patrocinadores
29 de mar. de 2025,3,3,"0,60%",72.119,0,12.072.029,TikTok,Publicidade,Patrocinadores
27 de mar. de 2025,3,3,"8,67%",10.530,0,121.434,TikTok,Publicidade,Patrocinadores
19 de mar. de 2025,3,2,"6,65%",2.570,0,38.659,TikTok,Publicidade,Patrocinadores
05 de mar. de 2025,3,3,"0,37%",16.102,0,4.394.953,TikTok,Publicidade,Patrocinadores
19 de fev. de 2025,3,3,"0,82%",35.055,0,4.265.637,TikTok,Publicidade,Patrocinadores
17 de fev. de 2025,3,3,"6,54%",3.459,0,52.871,TikTok,Publicidade,Patrocinadores
10 de fev. de 2025,3,3,"8,35%",8.829,0,105.688,TikTok,Publicidade,Patrocinadores
30 de jan. de 2025,3,3,"3,54%",30.889,0,871.887,TikTok,Publicidade,Patrocinadores
27 de jan. de 2025,3,3,"5,86%",1.334,0,22.783,TikTok,Publicidade,Patrocinadores
24 de jan. de 2025,3,3,"10,40%",73.702,0,708.522,TikTok,Publicidade,Patrocinadores
25 de jun. de 2025,2,2,"11,31%",1.851,0,16.365,TikTok,Publicidade,Patrocinadores
18 de jun. de 2025,2,2,"7,35%",97,0,1.320,TikTok,Publicidade,Patrocinadores
17 de jun. de 2025,2,2,"9,78%",231,0,2.362,TikTok,Publicidade,Patrocinadores
12 de jun. de 2025,2,2,"18,40%",3.540,0,19.238,TikTok,Publicidade,Patrocinadores
31 de mai. de 2025,2,2,"7,81%",5.258,0,67.309,TikTok,Publicidade,Patrocinadores
30 de mai. de 2025,2,2,"5,15%",556,0,10.789,TikTok,Publicidade,Patrocinadores
19 de mai. de 2025,2,2,"0,08%",4.100,0,5.099.185,TikTok,Publicidade,Patrocinadores
18 de mai. de 2025,2,2,"0,19%",12.635,0,6.551.348,TikTok,Publicidade,Patrocinadores
08 de mai. de 2025,2,2,"4,51%",4.843,0,107.354,TikTok,Publicidade,Patrocinadores
06 de mai. de 2025,2,2,"13,75%",44.158,0,321.107,TikTok,Publicidade,Patrocinadores
05 de mai. de 2025,2,2,"10,03%",155,0,1.545,TikTok,Publicidade,Patrocinadores
28 de abr. de 2025,2,2,"0,54%",2.216,0,413.712,TikTok,Publicidade,Patrocinadores
26 de abr. de 2025,2,2,"14,50%",4.828,0,33.291,TikTok,Publicidade,Patrocinadores
24 de abr. de 2025,2,2,"0,76%",34.177,0,4.494.123,TikTok,Publicidade,Patrocinadores
17 de abr. de 2025,2,2,"3,18%",276,0,8.676,TikTok,Publicidade,Patrocinadores
14 de abr. de 2025,2,2,"13,87%",78.072,0,562.788,TikTok,Publicidade,Patrocinadores
13 de abr. de 2025,2,2,"4,33%",499,0,11.519,TikTok,Publicidade,Patrocinadores
03 de abr. de 2025,2,2,"2,56%",24.189,0,944.139,TikTok,Publicidade,Patrocinadores
24 de mar. de 2025,2,2,"4,16%",31.638,0,760.665,TikTok,Publicidade,Patrocinadores
23 de mar. de 2025,2,2,"8,33%",6.437,0,77.306,TikTok,Publicidade,Patrocinadores
21 de mar. de 2025,2,2,"7,26%",11.340,0,156.251,TikTok,Publicidade,Patrocinadores
18 de mar. de 2025,2,2,"8,19%",12.355,0,150.797,TikTok,Publicidade,Patrocinadores
17 de mar. de 2025,2,2,"9,54%",133.626,0,1.400.204,TikTok,Publicidade,Patrocinadores
14 de mar. de 2025,2,2,"10,49%",17.277,0,164.726,TikTok,Publicidade,Patrocinadores
13 de mar. de 2025,2,2,"8,83%",9.068,0,102.740,TikTok,Publicidade,Patrocinadores
10 de mar. de 2025,2,2,"12,29%",39.562,0,321.831,TikTok,Publicidade,Patrocinadores
04 de mar. de 2025,2,2,"4,17%",845,0,20.268,TikTok,Publicidade,Patrocinadores
02 de mar. de 2025,2,2,"5,11%",17.979,0,351.613,TikTok,Publicidade,Patrocinadores
23 de fev. de 2025,2,2,"5,42%",214.753,0,3.960.790,TikTok,Publicidade,Patrocinadores
18 de fev. de 2025,2,2,"8,85%",2.200,0,24.846,TikTok,Publicidade,Patrocinadores
13 de fev. de 2025,2,2,"4,32%",6.489,0,150.317,TikTok,Publicidade,Patrocinadores
09 de fev. de 2025,2,2,"11,21%",42.392,0,378.012,TikTok,Publicidade,Patrocinadores
06 de fev. de 2025,2,2,"0,77%",25.441,0,3.282.951,TikTok,Publicidade,Patrocinadores
29 de jan. de 2025,2,1,"6,79%",9.910,0,145.920,TikTok,Publicidade,Patrocinadores
25 de jan. de 2025,2,2,"17,43%",1.001.114,0,5.742.546,TikTok,Publicidade,Patrocinadores
22 de jan. de 2025,2,2,"5,77%",8.987,0,155.740,TikTok,Publicidade,Patrocinadores
20 de jan. de 2025,2,2,"9,64%",208,0,2.157,TikTok,Publicidade,Patrocinadores
03 de jan. de 2025,2,2,"8,15%",22.153,0,271.849,TikTok,Publicidade,Patrocinadores
21 de jun. de 2025,1,1,"13,10%",645,0,4.925,TikTok,Publicidade,Patrocinadores
19 de jun. de 2025,1,1,"7,08%",85,0,1.200,TikTok,Publicidade,Patrocinadores
15 de jun. de 2025,1,1,"5,14%",87,0,1.692,TikTok,Publicidade,Patrocinadores
14 de jun. de 2025,1,1,"5,42%",661,0,12.200,TikTok,Publicidade,Patrocinadores
08 de jun. de 2025,1,1,"13,37%",46,0,344,TikTok,Publicidade,Patrocinadores
07 de jun. de 2025,1,1,"8,30%",264,0,3.182,TikTok,Publicidade,Patrocinadores
05 de jun. de 2025,1,1,"11,24%",39,0,347,TikTok,Publicidade,Patrocinadores
02 de jun. de 2025,1,1,"1,21%",975.511,0,80.663.245,TikTok,Publicidade,Patrocinadores
24 de mai. de 2025,1,1,"9,62%",282,0,2.930,TikTok,Publicidade,Patrocinadores
15 de mai. de 2025,1,1,"11,04%",180,0,1.630,TikTok,Publicidade,Patrocinadores
14 de mai. de 2025,1,1,"3,90%",2.741,0,70.285,TikTok,Publicidade,Patrocinadores
11 de mai. de 2025,1,1,"6,46%",4.593,0,71.100,TikTok,Publicidade,Patrocinadores
09 de mai. de 2025,1,1,"7,41%",18,0,243,TikTok,Publicidade,Patrocinadores
03 de mai. de 2025,1,1,"0,04%",266,0,604.500,TikTok,Publicidade,Patrocinadores
30 de abr. de 2025,1,1,"5,74%",541,0,9.418,TikTok,Publicidade,Patrocinadores
25 de abr. de 2025,1,1,"3,60%",605,0,16.821,TikTok,Publicidade,Patrocinadores
23 de abr. de 2025,1,1,"3,60%",38,0,1.057,TikTok,Publicidade,Patrocinadores
22 de abr. de 2025,1,1,"5,82%",105,0,1.803,TikTok,Publicidade,Patrocinadores
21 de abr. de 2025,1,1,"2,11%",89,0,4.222,TikTok,Publicidade,Patrocinadores
19 de abr. de 2025,1,1,"7,66%",188,0,2.455,TikTok,Publicidade,Patrocinadores
16 de abr. de 2025,1,1,"10,27%",6.227,0,60.660,TikTok,Publicidade,Patrocinadores
09 de abr. de 2025,1,1,"5,74%",650,0,11.319,TikTok,Publicidade,Patrocinadores
08 de abr. de 2025,1,1,"3,54%",299,0,8.458,TikTok,Publicidade,Patrocinadores
07 de abr. de 2025,1,1,"16,07%",103.676,0,645.187,TikTok,Publicidade,Patrocinadores
02 de abr. de 2025,1,1,"9,48%",1.740,0,18.359,TikTok,Publicidade,Patrocinadores
30 de mar. de 2025,1,1,"5,74%",592,0,10.316,TikTok,Publicidade,Patrocinadores
26 de mar. de 2025,1,1,"7,72%",30.985,0,401.450,TikTok,Publicidade,Patrocinadores
22 de mar. de 2025,1,1,"6,29%",476,0,7.570,TikTok,Publicidade,Patrocinadores
20 de mar. de 2025,1,1,"13,99%",27,0,193,TikTok,Publicidade,Patrocinadores
16 de mar. de 2025,1,1,"7,43%",22.826,0,307.136,TikTok,Publicidade,Patrocinadores
15 de mar. de 2025,1,1,"14,39%",13.023,0,90.500,TikTok,Publicidade,Patrocinadores
12 de mar. de 2025,1,1,"5,30%",630,0,11.878,TikTok,Publicidade,Patrocinadores
09 de mar. de 2025,1,1,"6,65%",33.644,0,506.200,TikTok,Publicidade,Patrocinadores
22 de fev. de 2025,1,1,"2,26%",246,0,10.904,TikTok,Publicidade,Patrocinadores
20 de fev. de 2025,1,1,"8,65%",1.073,0,12.407,TikTok,Publicidade,Patrocinadores
15 de fev. de 2025,1,1,"8,17%",1.625,0,19.900,TikTok,Publicidade,Patrocinadores
08 de fev. de 2025,1,1,"2,65%",7.290,0,275.500,TikTok,Publicidade,Patrocinadores
03 de fev. de 2025,1,1,"8,14%",12.995,0,159.663,TikTok,Publicidade,Patrocinadores
01 de fev. de 2025,1,1,"9,22%",353,0,3.828,TikTok,Publicidade,Patrocinadores
31 de jan. de 2025,1,1,"7,45%",4.742,0,63.658,TikTok,Publicidade,Patrocinadores
21 de jan. de 2025,1,1,"6,74%",275,0,4.079,TikTok,Publicidade,Patrocinadores
15 de jan. de 2025,1,1,"21,16%",218.125,0,1.030.894,TikTok,Publicidade,Patrocinadores
10 de jan. de 2025,1,1,"12,50%",9,0,72,TikTok,Publicidade,Patrocinadores
09 de jan. de 2025,1,1,"7,05%",6.990,0,99.139,TikTok,Publicidade,Patrocinadores
07 de jan. de 2025,1,1,"3,26%",571,0,17.542,TikTok,Publicidade,Patrocinadores
06 de jan. de 2025,1,1,"2,92%",12,0,411,TikTok,Publicidade,Patrocinadores
04 de jan. de 2025,1,1,"8,42%",187.457,0,2.226.668,TikTok,Publicidade,Patrocinadores
13 de jan. de 2025,8,7,"2,19%",19.481,888.545,959,Twitter,Publicidade,Patrocinadores
02 de mar. de 2025,6,4,"0,03%",556,1.851.120,57.950,Twitter,Publicidade,Patrocinadores
06 de abr. de 2025,5,3,"0,04%",432,1.141.346,583.269,Twitter,Publicidade,Patrocinadores
26 de jan. de 2025,4,2,"0,14%",603,420.535,116.492,Twitter,Publicidade,Patrocinadores
21 de jan. de 2025,4,3,"0,07%",558,755.868,139.090,Twitter,Publicidade,Patrocinadores
21 de abr. de 2025,3,3,"4,38%",8.886,202.759,495.736,Twitter,Publicidade,Patrocinadores
14 de mar. de 2025,3,1,"0,03%",100,399.177,33.422,Twitter,Publicidade,Patrocinadores
07 de abr. de 2025,2,1,"0,24%",338,140.020,279.939,Twitter,Publicidade,Patrocinadores
28 de mar. de 2025,2,2,"0,11%",47,42.943,83.746,Twitter,Publicidade,Patrocinadores
28 de fev. de 2025,2,1,"0,04%",106,265.982,22.481,Twitter,Publicidade,Patrocinadores
27 de fev. de 2025,2,1,"0,70%",971,139.004,373.098,Twitter,Publicidade,Patrocinadores
22 de jan. de 2025,2,1,"0,05%",21,44.702,3.440,Twitter,Publicidade,Patrocinadores
3 dias ago,1,1,"0,00%",0,1.380,617,Twitter,Publicidade,Patrocinadores
09 de mai. de 2025,1,1,"0,06%",1,1.716,242,Twitter,Publicidade,Patrocinadores
11 de abr. de 2025,1,1,"3,40%",7,206,5.469,Twitter,Publicidade,Patrocinadores
05 de abr. de 2025,1,1,"0,62%",431,69.997,203.575,Twitter,Publicidade,Patrocinadores
05 de mar. de 2025,1,1,"<0,01%",60,1.092.884,5.192,Twitter,Publicidade,Patrocinadores
28 de jan. de 2025,1,1,"0,11%",25,22.342,3.971,Twitter,Publicidade,Patrocinadores
25 de jan. de 2025,1,1,"0,02%",162,732.622,418.254,Twitter,Publicidade,Patrocinadores
20 de jan. de 2025,1,1,"0,08%",18,22.353,3.959,Twitter,Publicidade,Patrocinadores
14 de jan. de 2025,1,1,"5,21%",11,211,-,Twitter,Publicidade,Patrocinadores
30 de mar. de 2025,1,1,"<0,01%",65,112.981,-,Facebook,Publicidade,Patrocinadores
28 de fev. de 2025,1,1,"0,00%",0,37.344,-,Facebook,Publicidade,Patrocinadores
24 de fev. de 2025,1,1,"0,02%",2,813,-,Facebook,Publicidade,Patrocinadores
17 de jan. de 2025,1,1,"0,00%",0,13,-,Facebook,Publicidade,Patrocinadores
18 de fev. de 2025,6,2,"<0,01%",473,0,16.503,Youtube,Publicidade,Patrocinadores
12 de fev. de 2025,5,2,"0,59%",52.219,0,1.663.406,Youtube,Publicidade,Patrocinadores
11 de fev. de 2025,5,2,"<0,01%",249,0,4.624,Youtube,Publicidade,Patrocinadores
17 de fev. de 2025,4,1,"0,08%",4.346,0,95.682,Youtube,Publicidade,Patrocinadores
13 de fev. de 2025,4,1,"0,16%",8.515,0,313.581,Youtube,Publicidade,Patrocinadores
10 de fev. de 2025,4,1,"0,04%",2.125,0,46.041,Youtube,Publicidade,Patrocinadores
09 de abr. de 2025,3,3,"0,18%",549,0,7.499,Youtube,Publicidade,Patrocinadores
14 de jun. de 2025,2,2,"0,44%",267,0,3.634,Youtube,Publicidade,Patrocinadores
22 de mai. de 2025,2,2,"0,02%",72,0,2.205,Youtube,Publicidade,Patrocinadores
21 de mai. de 2025,2,2,"10,38%",67.948,0,3.169.346,Youtube,Publicidade,Patrocinadores
15 de abr. de 2025,2,1,"0,16%",32,0,129,Youtube,Publicidade,Patrocinadores
10 de abr. de 2025,2,2,"0,07%",49,0,583,Youtube,Publicidade,Patrocinadores
08 de abr. de 2025,2,2,"0,46%",25.051,0,167.131,Youtube,Publicidade,Patrocinadores
01 de abr. de 2025,2,2,"0,10%",134,0,1.800,Youtube,Publicidade,Patrocinadores
31 de mar. de 2025,2,2,"0,58%",97,0,1.707,Youtube,Publicidade,Patrocinadores
26 de mar. de 2025,2,2,"0,36%",3.621,0,37.455,Youtube,Publicidade,Patrocinadores
25 de mar. de 2025,2,2,"0,03%",109,0,3.203,Youtube,Publicidade,Patrocinadores
19 de mar. de 2025,2,2,"1,50%",1.727,0,27.571,Youtube,Publicidade,Patrocinadores
28 de fev. de 2025,2,2,"0,30%",7.225,0,129.954,Youtube,Publicidade,Patrocinadores
5 dias ago,1,1,"0,11%",12,0,47,Youtube,Publicidade,Patrocinadores
23 de jun. de 2025,1,1,"0,10%",11,0,84,Youtube,Publicidade,Patrocinadores
22 de jun. de 2025,1,1,"0,17%",18,0,70,Youtube,Publicidade,Patrocinadores
21 de jun. de 2025,1,1,"0,08%",9,0,42,Youtube,Publicidade,Patrocinadores
20 de jun. de 2025,1,1,"<0,01%",6,0,64,Youtube,Publicidade,Patrocinadores
19 de jun. de 2025,1,1,"0,13%",14,0,58,Youtube,Publicidade,Patrocinadores
18 de jun. de 2025,1,1,"1,57%",2.491,0,60.483,Youtube,Publicidade,Patrocinadores
11 de jun. de 2025,1,1,"0,16%",17,0,96,Youtube,Publicidade,Patrocinadores
09 de jun. de 2025,1,1,"0,23%",24,0,112,Youtube,Publicidade,Patrocinadores
07 de jun. de 2025,1,1,"0,14%",4,0,35,Youtube,Publicidade,Patrocinadores
05 de jun. de 2025,1,1,"0,69%",1.067,0,20.141,Youtube,Publicidade,Patrocinadores
04 de jun. de 2025,1,1,"0,17%",18,0,94,Youtube,Publicidade,Patrocinadores
03 de jun. de 2025,1,1,"0,09%",73,0,2.284,Youtube,Publicidade,Patrocinadores
30 de mai. de 2025,1,1,"0,26%",28,0,218,Youtube,Publicidade,Patrocinadores
27 de mai. de 2025,1,1,"0,88%",1.358,0,39.610,Youtube,Publicidade,Patrocinadores
26 de mai. de 2025,1,1,"0,28%",29,0,120,Youtube,Publicidade,Patrocinadores
24 de mai. de 2025,1,1,"0,01%",45,0,2.141,Youtube,Publicidade,Patrocinadores
23 de mai. de 2025,1,1,"0,16%",17,0,83,Youtube,Publicidade,Patrocinadores
20 de mai. de 2025,1,1,"0,31%",33,0,144,Youtube,Publicidade,Patrocinadores
17 de mai. de 2025,1,1,"0,17%",18,0,75,Youtube,Publicidade,Patrocinadores
16 de mai. de 2025,1,1,"0,22%",23,0,95,Youtube,Publicidade,Patrocinadores
15 de mai. de 2025,1,1,"0,01%",16,0,2.758,Youtube,Publicidade,Patrocinadores
12 de mai. de 2025,1,1,"0,00%",0,0,5,Youtube,Publicidade,Patrocinadores
10 de mai. de 2025,1,1,"0,12%",13,0,89,Youtube,Publicidade,Patrocinadores
09 de mai. de 2025,1,1,"0,30%",32,0,227,Youtube,Publicidade,Patrocinadores
08 de mai. de 2025,1,1,"0,33%",35,0,283,Youtube,Publicidade,Patrocinadores
06 de mai. de 2025,1,1,"0,47%",49,0,407,Youtube,Publicidade,Patrocinadores
05 de mai. de 2025,1,1,"0,45%",47,0,364,Youtube,Publicidade,Patrocinadores
04 de mai. de 2025,1,1,"0,37%",10,0,688,Youtube,Publicidade,Patrocinadores
03 de mai. de 2025,1,1,"0,23%",24,0,69,Youtube,Publicidade,Patrocinadores
30 de abr. de 2025,1,1,"0,59%",61,0,320,Youtube,Publicidade,Patrocinadores
29 de abr. de 2025,1,1,"1,45%",149,0,878,Youtube,Publicidade,Patrocinadores
28 de abr. de 2025,1,1,"0,30%",31,0,130,Youtube,Publicidade,Patrocinadores
25 de abr. de 2025,1,1,"0,18%",18,0,69,Youtube,Publicidade,Patrocinadores
24 de abr. de 2025,1,1,"0,16%",16,0,78,Youtube,Publicidade,Patrocinadores
23 de abr. de 2025,1,1,"0,22%",22,0,122,Youtube,Publicidade,Patrocinadores
21 de abr. de 2025,1,1,"0,10%",6,0,710,Youtube,Publicidade,Patrocinadores
18 de abr. de 2025,1,1,"0,25%",25,0,128,Youtube,Publicidade,Patrocinadores
16 de abr. de 2025,1,1,"0,18%",18,0,50,Youtube,Publicidade,Patrocinadores
14 de abr. de 2025,1,1,"0,25%",25,0,177,Youtube,Publicidade,Patrocinadores
12 de abr. de 2025,1,1,"0,21%",21,0,83,Youtube,Publicidade,Patrocinadores
11 de abr. de 2025,1,1,"<0,01%",1,0,18,Youtube,Publicidade,Patrocinadores
07 de abr. de 2025,1,1,"0,38%",39,0,196,Youtube,Publicidade,Patrocinadores
05 de abr. de 2025,1,1,"0,28%",29,0,119,Youtube,Publicidade,Patrocinadores
04 de abr. de 2025,1,1,"0,40%",41,0,191,Youtube,Publicidade,Patrocinadores
02 de abr. de 2025,1,1,"0,23%",23,0,77,Youtube,Publicidade,Patrocinadores
28 de mar. de 2025,1,1,"0,16%",16,0,87,Youtube,Publicidade,Patrocinadores
24 de mar. de 2025,1,1,"0,16%",16,0,172,Youtube,Publicidade,Patrocinadores
23 de mar. de 2025,1,1,"2,29%",2.403,0,34.865,Youtube,Publicidade,Patrocinadores
20 de mar. de 2025,1,1,"0,10%",10,0,49,Youtube,Publicidade,Patrocinadores
18 de mar. de 2025,1,1,"0,27%",28,0,111,Youtube,Publicidade,Patrocinadores
13 de mar. de 2025,1,1,"0,21%",2.263,0,31.460,Youtube,Publicidade,Patrocinadores
11 de mar. de 2025,1,1,"0,13%",13,0,135,Youtube,Publicidade,Patrocinadores
10 de mar. de 2025,1,1,"0,27%",28,0,120,Youtube,Publicidade,Patrocinadores
04 de mar. de 2025,1,1,"0,31%",31,0,127,Youtube,Publicidade,Patrocinadores
03 de mar. de 2025,1,1,"0,45%",45,0,314,Youtube,Publicidade,Patrocinadores
27 de fev. de 2025,1,1,"0,19%",19,0,56,Youtube,Publicidade,Patrocinadores
20 de fev. de 2025,1,1,"0,34%",34,0,826,Youtube,Publicidade,Patrocinadores
25 de jan. de 2025,1,1,"3,81%",809,0,4.494,Youtube,Publicidade,Patrocinadores
19 de jan. de 2025,1,1,"3,23%",6.774,0,135.309,Youtube,Publicidade,Patrocinadores
16 de jan. de 2025,1,1,"0,01%",106,0,1.701,Youtube,Publicidade,Patrocinadores
07 de jan. de 2025,1,1,"0,72%",2.500,0,18.139,Youtube,Publicidade,Patrocinadores
17 de abr. de 2025,1,1,-,-,0,517,Twitch,Publicidade,Patrocinadores
17 de fev. de 2025,1,1,-,-,0,81.915,Twitch,Publicidade,Patrocinadores
11 de fev. de 2025,1,1,-,-,0,62.711,Twitch,Publicidade,Patrocinadores
10 de fev. de 2025,1,1,-,-,0,95.320,Twitch,Publicidade,Patrocinadores
09 de fev. de 2025,1,1,-,-,0,88.077,Twitch,Publicidade,Patrocinadores
07 de fev. de 2025,1,1,-,-,0,60.893,Twitch,Publicidade,Patrocinadores
06 de fev. de 2025,1,1,-,-,0,70.374,Twitch,Publicidade,Patrocinadores
01 de jan. de 2025,1,1,-,-,0,17.893,Twitch,Publicidade,Patrocinadores
31 de mar. de 2025,357,303,"4,92%",580.285,12.472.681,875.711,Instagram,Orgânicas,Patrocinadores
01 de abr. de 2025,347,274,"5,77%",370.629,6.870.247,1.020.792,Instagram,Orgânicas,Patrocinadores
04 de abr. de 2025,344,268,"5,92%",437.338,7.598.291,1.537.187,Instagram,Orgânicas,Patrocinadores
28 de mar. de 2025,342,252,"17,59%",1.145.058,6.916.947,223.487,Instagram,Orgânicas,Patrocinadores
27 de fev. de 2025,324,274,"4,95%",258.606,5.435.317,1.590.495,Instagram,Orgânicas,Patrocinadores
09 de abr. de 2025,317,267,"4,38%",274.717,6.613.703,669.008,Instagram,Orgânicas,Patrocinadores
14 de abr. de 2025,316,238,"4,42%",248.426,5.651.207,672.297,Instagram,Orgânicas,Patrocinadores
29 de mai. de 2025,311,236,"2,74%",169.206,6.386.936,185.789,Instagram,Orgânicas,Patrocinadores
02 de abr. de 2025,309,257,"8,11%",617.588,7.689.034,160.170,Instagram,Orgânicas,Patrocinadores
26 de mar. de 2025,308,255,"6,01%",336.023,5.644.519,269.790,Instagram,Orgânicas,Patrocinadores
27 de mar. de 2025,307,237,"5,66%",666.982,12.122.029,1.436.510,Instagram,Orgânicas,Patrocinadores
08 de abr. de 2025,306,263,"4,75%",353.122,7.858.069,2.063.682,Instagram,Orgânicas,Patrocinadores
28 de mai. de 2025,304,250,"2,57%",157.740,6.747.508,34.222,Instagram,Orgânicas,Patrocinadores
10 de abr. de 2025,301,254,"3,27%",200.873,6.186.376,245.578,Instagram,Orgânicas,Patrocinadores
15 de mar. de 2025,301,225,"6,64%",335.016,5.138.952,228.131,Instagram,Orgânicas,Patrocinadores
12 de fev. de 2025,298,247,"7,09%",306.047,4.404.097,98.963,Instagram,Orgânicas,Patrocinadores
25 de jun. de 2025,296,257,"6,87%",491.612,7.403.372,240.087,Instagram,Orgânicas,Patrocinadores
21 de fev. de 2025,296,253,"6,33%",430.969,7.145.331,446.541,Instagram,Orgânicas,Patrocinadores
15 de jan. de 2025,295,263,"4,67%",226.224,4.878.232,1.088.219,Instagram,Orgânicas,Patrocinadores
